Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement
In March it rained number0 inches . It rained number1 inches less in April than in March . How much did it rain in April ?,0.81 0.35,- number0 number1,0.46,"[3, 4, 5, 8, 9, 10, 22, 23, 24]",In March it rained number0 inches . It rained number1 inches less in April than in March .,How much did it rain in April ?
Benny goes out to lunch with Sara and Tom . Each person orders the $ number0 lunch special . Benny agrees to pay the bill . How much will he have to pay ?,8.0,* 3.0 number0,24.0,"[14, 15, 16, 30, 31, 32]",Benny goes out to lunch with Sara and Tom . Each person orders the $ number0 lunch special . Benny agrees to pay the bill .,How much will he have to pay ?
"Oliver is at the library helping put away books . There are number0 book to put away total but a librarian takes number1 of them and leaves Oliver with the rest . If he can fit number2 books on a shelf , how many shelves will he need ?",46.0 10.0 4.0,/ - number0 number1 number2,9.0,"[11, 12, 13, 21, 22, 23, 35, 36, 37, 45, 46, 47]","Oliver is at the library helping put away books . There are number0 book to put away total but a librarian takes number1 of them and leaves Oliver with the rest . If he can fit number2 books on a shelf ,",how many shelves will he need ?
Sean has number0 whistles . He has number1 more whistles that Charles . How many whistles does Charles have ?,223.0 95.0,- number0 number1,128.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Sean has number0 whistles . He has number1 more whistles that Charles .,How many whistles does Charles have ?
Larry has number0 cards . Dennis takes number1 away . How many cards will Larry have ?,67.0 9.0,- number0 number1,58.0,"[1, 2, 3, 6, 7, 8, 13, 14, 15]",Larry has number0 cards . Dennis takes number1 away .,How many cards will Larry have ?
There are number0 erasers in a box . Jane has number1 erasers in a bag . Doris takes number2 erasers out of the box . How many erasers are left in the box ?,69.0 15.0 54.0,- number0 number2,15.0,"[1, 2, 3, 9, 10, 11, 17, 18, 19, 30, 31, 32]",There are number0 erasers in a box . Jane has number1 erasers in a bag . Doris takes number2 erasers out of the box .,How many erasers are left in the box ?
A candy store has number0 boxes of chocolates . Each box has number1 pieces . How many pieces are there altogether in the boxes ?,6.0 500.0,* number0 number1,3000.0,"[3, 4, 5, 11, 12, 13, 21, 22, 23]",A candy store has number0 boxes of chocolates . Each box has number1 pieces .,How many pieces are there altogether in the boxes ?
There are number0 students making number1 stars each for the school wall . How many stars will they make all together ?,124.0 3.0,* number0 number1,372.0,"[1, 2, 3, 4, 5, 6, 18, 19, 20]",There are number0 students making number1 stars each for the school wall .,How many stars will they make all together ?
"Mrs. Hilt baked pies last weekend for a holiday dinner . She baked number0 pecan pies and number1 apples pies . If she wants to arrange all of the pies in rows of number2 pies each , how many rows will she have ?",16.0 14.0 5.0,+ number0 number1,30.0,"[12, 13, 14, 16, 17, 18, 34, 35, 36, 42, 43, 44]","Mrs. Hilt baked pies last weekend for a holiday dinner . She baked number0 pecan pies and number1 apples pies . If she wants to arrange all of the pies in rows of number2 pies each ,",how many rows will she have ?
There are number0 walnut trees currently in the park . Park workers will plant number1 walnut trees today . How many walnut trees will the park have when the workers are finished ?,33.0 44.0,+ number0 number1,77,"[1, 2, 3, 13, 14, 15, 29, 30, 31]",There are number0 walnut trees currently in the park . Park workers will plant number1 walnut trees today .,How many walnut trees will the park have when the workers are finished ?
number0 people are going to the zoo . There are number1 cars to take people to the zoo . How many will go in each car if the same number go in each car ?,63.0 3.0,/ number0 number1,21.0,"[0, 1, 9, 10, 11, 31, 32, 33]",number0 people are going to the zoo . There are number1 cars to take people to the zoo .,How many will go in each car if the same number go in each car ?
A toy store had number0 giant stuffed bears in stock when they got another shipment with number1 bears in it . The put the bears onto shelves with number2 on each shelf . How many shelves did they use ?,17.0 10.0 9.0,/ + number0 number1 number2,3.0,"[3, 4, 5, 15, 16, 17, 27, 28, 29, 36, 37, 38]",A toy store had number0 giant stuffed bears in stock when they got another shipment with number1 bears in it . The put the bears onto shelves with number2 on each shelf .,How many shelves did they use ?
"Rachel was playing a video game where she scores number0 points for each treasure she finds . If she found number1 treasures on the first level and number2 on the second , what would her score be ?",9.0 5.0 2.0,* number0 + number1 number2,63.0,"[8, 9, 10, 19, 20, 21, 26, 27, 28, 34, 35, 36]","Rachel was playing a video game where she scores number0 points for each treasure she finds . If she found number1 treasures on the first level and number2 on the second ,",what would her score be ?
Denise removes number0 bananas from a jar . There were originally number1 bananas in the jar . How many bananas are left in the jar ?,5.0 46.0,- number1 number0,41.0,"[1, 2, 3, 10, 11, 12, 22, 23, 24]",Denise removes number0 bananas from a jar . There were originally number1 bananas in the jar .,How many bananas are left in the jar ?
Mrs. Hilt wants to make a border around her garden . She needs number0 rocks to complete the border . She has number1 rocks . How many more rocks does she need to complete the border ?,125.0 64.0,- number0 number1,61.0,"[12, 13, 14, 21, 22, 23, 35, 36, 37]",Mrs. Hilt wants to make a border around her garden . She needs number0 rocks to complete the border . She has number1 rocks .,How many more rocks does she need to complete the border ?
"Wendy picked number0 flowers for her friend ’ s wedding . She was making bouquets with number1 flowers in each one . If number2 of the flowers wilted before the wedding , how many bouquets could she still make ?",45.0 5.0 35.0,/ - number0 number2 number1,2.0,"[1, 2, 3, 14, 15, 16, 21, 22, 23, 35, 36, 37]","Wendy picked number0 flowers for her friend ’ s wedding . She was making bouquets with number1 flowers in each one . If number2 of the flowers wilted before the wedding ,",how many bouquets could she still make ?
"A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each , how many tables do they need ?",45.0 35.0 2.0,/ - number0 number1 number2,5.0,"[2, 3, 4, 9, 10, 11, 23, 24, 25, 31, 32, 33]","A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each ,",how many tables do they need ?
"For a birthday party George bought number0 regular sodas and number1 diet sodas . If his fridge would only hold number2 on each shelf , how many shelves would he fill up ?",10.0 22.0 4.0,/ + number0 number1 number2,8.0,"[5, 6, 7, 9, 10, 11, 19, 20, 21, 29, 30, 31]","For a birthday party George bought number0 regular sodas and number1 diet sodas . If his fridge would only hold number2 on each shelf ,",how many shelves would he fill up ?
Carol collects number0 peanuts . Carol 's father gives Carol number1 more . How many peanuts does Carol have ?,2.0 5.0,+ number0 number1,7.0,"[1, 2, 3, 9, 10, 11, 16, 17, 18]",Carol collects number0 peanuts . Carol 's father gives Carol number1 more .,How many peanuts does Carol have ?
"For Halloween Debby and her sister combined the candy they received . Debby had number0 pieces of candy while her sister had number1 . If they ate number2 pieces the first night , how many pieces do they have left ?",32.0 42.0 35.0,- + number0 number1 number2,39.0,"[13, 14, 15, 21, 22, 23, 26, 27, 28, 37, 38, 39]","For Halloween Debby and her sister combined the candy they received . Debby had number0 pieces of candy while her sister had number1 . If they ate number2 pieces the first night ,",how many pieces do they have left ?
Ruth starts with number0 apples . She shares number1 with Peter . How many apples does Ruth end with ?,89.0 5.0,- number0 number1,84.0,"[2, 3, 4, 7, 8, 9, 16, 17, 18]",Ruth starts with number0 apples . She shares number1 with Peter .,How many apples does Ruth end with ?
Benny found number0 seashells and number1 starfish on the beach . He gave number2 of the seashells to Jason . How many seashells does Benny now have ?,66.0 49.0 52.0,- number0 number2,14,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",Benny found number0 seashells and number1 starfish on the beach . He gave number2 of the seashells to Jason .,How many seashells does Benny now have ?
Jorge scored number0 goals playing soccer last season . This season he scored number1 goals . What is the total number of goals Jorge scored ?,156.0 187.0,+ number0 number1,343.0,"[1, 2, 3, 12, 13, 14, 22, 23, 24]",Jorge scored number0 goals playing soccer last season . This season he scored number1 goals .,What is the total number of goals Jorge scored ?
Anne weighs number0 pounds . Douglas weighs number1 pounds . How much heavier is Anne than Douglas ?,67.0 52.0,- number0 number1,15.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Anne weighs number0 pounds . Douglas weighs number1 pounds .,How much heavier is Anne than Douglas ?
"At the arcade Cody won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets , how many would he have ?",49.0 25.0 6.0,- + number0 number2 number1,30.0,"[4, 5, 6, 10, 11, 12, 18, 19, 20, 25, 26, 27]","At the arcade Cody won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets ,",how many would he have ?
Benny worked number0 hours for number1 days . How many hours did he work in total ?,3.0 6.0,* number0 number1,18.0,"[1, 2, 3, 4, 5, 6, 13, 14, 15]",Benny worked number0 hours for number1 days .,How many hours did he work in total ?
"There were number0 friends playing a video game online when number1 players quit . If each player left had number2 lives , how many lives did they have total ?",13.0 8.0 6.0,* number2 - number0 number1,30.0,"[1, 2, 3, 9, 10, 11, 18, 19, 20, 26, 27, 28]","There were number0 friends playing a video game online when number1 players quit . If each player left had number2 lives ,",how many lives did they have total ?
"Sarah had some trucks . She gave number0 to Jeff , and now she has number1 trucks left . How many trucks did Sarah have to start with ?",13.0 38.0,+ number0 number1,51.0,"[6, 7, 8, 14, 15, 16, 25, 26, 27]","Sarah had some trucks . She gave number0 to Jeff , and now she has number1 trucks left .",How many trucks did Sarah have to start with ?
"Adam had number0 books . If he sold number1 of them and used the money he earned to buy number2 new books , how many books would Adam have ?",33.0 11.0 23.0,- + number0 number2 number1,45.0,"[1, 2, 3, 7, 8, 9, 18, 19, 20, 26, 27, 28]","Adam had number0 books . If he sold number1 of them and used the money he earned to buy number2 new books ,",how many books would Adam have ?
"Ron weighed number0 colored metal balls during a science class . The blue ball weighed number1 pounds and the brown ball weighed number2 pounds . If Ron places both balls on the scale at the same time , what will the scale read ?",2.0 6.0 3.12,+ number1 number2,9.12,"[1, 2, 3, 14, 15, 16, 21, 22, 23, 40, 41, 42]","Ron weighed number0 colored metal balls during a science class . The blue ball weighed number1 pounds and the brown ball weighed number2 pounds . If Ron places both balls on the scale at the same time ,",what will the scale read ?
"Lexie ’ s younger brother helped pick up all the paper clips in Lexie ’ s room . He was able to collect number0 paper clips . If he wants to distribute the paper clips in number1 boxes , how many paper clips will each box contain ?",81.0 9.0,/ number0 number1,9.0,"[20, 21, 22, 33, 34, 35, 42, 43, 44]","Lexie ’ s younger brother helped pick up all the paper clips in Lexie ’ s room . He was able to collect number0 paper clips . If he wants to distribute the paper clips in number1 boxes ,",how many paper clips will each box contain ?
"Paco 's Countertop Company purchased pieces of marble from a quarry . The weights of the pieces they purchased were number0 ton , number1 ton , and number2 ton . How many tons of marble did Paco 's Countertop Company purchase in all ?",0.3333333333333333 0.3333333333333333 0.08333333333333333,+ + number0 number0 number2,0.75,"[19, 20, 21, 22, 23, 24, 26, 27, 28, 40, 41, 42]","Paco 's Countertop Company purchased pieces of marble from a quarry . The weights of the pieces they purchased were number0 ton , number1 ton , and number2 ton .",How many tons of marble did Paco 's Countertop Company purchase in all ?
"Pamela bought number0 ounces of sugar , and she spilled number1 ounces of it on the floor . How much is ?",9.8 5.2,- number0 number1,4.6,"[1, 2, 3, 9, 10, 11, 18, 19, 20]","Pamela bought number0 ounces of sugar , and she spilled number1 ounces of it on the floor .",How much is ?
"Dan has number0 violet marbles , he gave Mary number1 of the marbles . How many violet marbles does he now have ?",64.0 14.0,- number0 number1,50,"[1, 2, 3, 8, 9, 10, 19, 20, 21]","Dan has number0 violet marbles , he gave Mary number1 of the marbles .",How many violet marbles does he now have ?
number0 boys went down the slide . number1 more boys went down the slide . How many boys went down the slide ?,22.0 13.0,+ number0 number1,35.0,"[0, 1, 6, 7, 8, 19, 20, 21]",number0 boys went down the slide . number1 more boys went down the slide .,How many boys went down the slide ?
Brennan had number0 grams of pepper . Then he used number1 grams of the pepper to make some scrambled eggs . How much pepper does Brennan have ?,0.25 0.16,- number0 number1,0.09,"[1, 2, 3, 9, 10, 11, 24, 25, 26]",Brennan had number0 grams of pepper . Then he used number1 grams of the pepper to make some scrambled eggs .,How much pepper does Brennan have ?
"Robin was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies , how many baggies could she make ?",6.0 23.0 25.0,/ + number1 number2 number0,8.0,"[6, 7, 8, 15, 16, 17, 20, 21, 22, 28, 29, 30]","Robin was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies ,",how many baggies could she make ?
"While playing a video game , Paul scored number0 points . He and his cousin together have a total of number1 points . How many points does Paul 's cousin have ?",3103.0 5816.0,- number1 number0,2713.0,"[7, 8, 9, 19, 20, 21, 28, 29, 30]","While playing a video game , Paul scored number0 points . He and his cousin together have a total of number1 points .",How many points does Paul 's cousin have ?
"There are number0 books in Oak Grove 's public library . In addition , there are number1 books in its school libraries . How many books do the libraries in Oak Grove have overall ?",1986.0 5106.0,+ number0 number1,7092.0,"[1, 2, 3, 15, 16, 17, 31, 32, 33]","There are number0 books in Oak Grove 's public library . In addition , there are number1 books in its school libraries .",How many books do the libraries in Oak Grove have overall ?
"A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table . How many customers total did the waiter have ?",7.0 7.0 2.0,* number0 + number0 number2,63.0,"[2, 3, 4, 10, 11, 12, 13, 14, 15, 25, 26, 27]","A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table .",How many customers total did the waiter have ?
Jane buys an apple for $ number0 and pays with a $ number1 bill . How much change will she get ?,0.75 5.0,- number1 number0,4.25,"[5, 6, 7, 11, 12, 13, 18, 19, 20]",Jane buys an apple for $ number0 and pays with a $ number1 bill .,How much change will she get ?
number0 birds were sitting in a tree . number1 more birds flew up to the tree . How many birds were there altogether in the tree ?,179.0 38.0,+ number0 number1,217.0,"[0, 1, 7, 8, 9, 23, 24, 25]",number0 birds were sitting in a tree . number1 more birds flew up to the tree .,How many birds were there altogether in the tree ?
"For the school bake sale Katie made number0 cupcakes . If she sold number1 of them and then made number2 more , how many cupcakes would she have ?",26.0 20.0 20.0,- + number0 number1 number1,26.0,"[6, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 27]","For the school bake sale Katie made number0 cupcakes . If she sold number1 of them and then made number2 more ,",how many cupcakes would she have ?
Kaleb was selling his old games . He started out with number0 but sold number1 of them . He packed the rest up putting number2 games into each box . How many boxes did he have to use ?,76.0 46.0 5.0,/ - number0 number1 number2,6.0,"[10, 11, 12, 13, 14, 15, 23, 24, 25, 35, 36, 37]",Kaleb was selling his old games . He started out with number0 but sold number1 of them . He packed the rest up putting number2 games into each box .,How many boxes did he have to use ?
Nancy has number0 five dollars bills . How much money does she have ?,9.0,* number0 5.0,45.0,"[1, 2, 3, 12, 13, 14]",Nancy has number0 five dollars bills .,How much money does she have ?
"Sara grew number0 pumpkins , but the rabbits ate number1 pumpkins . How many pumpkins does Sara have ?",43.0 23.0,- number0 number1,20,"[1, 2, 3, 8, 9, 10, 15, 16, 17]","Sara grew number0 pumpkins , but the rabbits ate number1 pumpkins .",How many pumpkins does Sara have ?
Marcia spent number0 minutes working on her science project . How many hours did Marcia spend on her science project ?,300.0,/ number0 60.0,5.0,"[1, 2, 3, 17, 18, 19]",Marcia spent number0 minutes working on her science project .,How many hours did Marcia spend on her science project ?
There are number0 walnut trees currently in the park . Park workers will plant number1 more walnut trees today . How many walnut trees will the park have when the workers are finished ?,107.0 104.0,+ number0 number1,211.0,"[1, 2, 3, 15, 16, 17, 32, 33, 34]",There are number0 walnut trees currently in the park . Park workers will plant number1 more walnut trees today .,How many walnut trees will the park have when the workers are finished ?
Melanie had number0 dimes in her bank . Her dad gave her number1 dimes and her mother gave her number2 dimes . How many dimes does Melanie have now ?,19.0 39.0 25.0,+ + number0 number1 number2,83.0,"[1, 2, 3, 11, 12, 13, 18, 19, 20, 26, 27, 28]",Melanie had number0 dimes in her bank . Her dad gave her number1 dimes and her mother gave her number2 dimes .,How many dimes does Melanie have now ?
"I read number0 pages of my English book yesterday . Today , I read number1 pages . What is the total number of pages did I read ?",21.0 17.0,+ number0 number1,38.0,"[1, 2, 3, 13, 14, 15, 24, 25, 26]","I read number0 pages of my English book yesterday . Today , I read number1 pages .",What is the total number of pages did I read ?
Barbara has number0 candies . She buys number1 more . How many candies does Barbara have in all ?,9.0 18.0,+ number0 number1,27.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",Barbara has number0 candies . She buys number1 more .,How many candies does Barbara have in all ?
"Jack has a section filled with short story booklets . If each booklet has number0 pages and there are number1 booklets in the short story section , how many pages will Jack need to go through if he plans to read them all ?",9.0 49.0,* number0 number1,441.0,"[13, 14, 15, 18, 19, 20, 40, 41, 42]","Jack has a section filled with short story booklets . If each booklet has number0 pages and there are number1 booklets in the short story section ,",how many pages will Jack need to go through if he plans to read them all ?
"Tom bought number0 tickets at the state fair . He spent number1 tickets at the ' dunk a clown ' booth and decided to use the rest on rides . If each ride cost number2 tickets , how many rides could he go on ?",40.0 28.0 4.0,/ - number0 number1 number2,3.0,"[1, 2, 3, 10, 11, 12, 33, 34, 35, 41, 42, 43]","Tom bought number0 tickets at the state fair . He spent number1 tickets at the ' dunk a clown ' booth and decided to use the rest on rides . If each ride cost number2 tickets ,",how many rides could he go on ?
Brian has number0 cards . Wayne takes number1 away . How many cards will Brian have ?,76.0 59.0,- number0 number1,17.0,"[1, 2, 3, 6, 7, 8, 13, 14, 15]",Brian has number0 cards . Wayne takes number1 away .,How many cards will Brian have ?
Willie has number0 bananas . Charles has number1 bananas . He loses number2 . How many bananas will Willie have ?,48.0 14.0 35.0,- number0 number2,13.0,"[1, 2, 3, 6, 7, 8, 11, 12, 13, 17, 18, 19]",Willie has number0 bananas . Charles has number1 bananas . He loses number2 .,How many bananas will Willie have ?
"Evelyn has number0 marbles . She gets number1 more from Henry . Later , Evelyn buys number2 cards at the store . How many marbles does Evelyn have in all ?",95.0 9.0 6.0,+ number0 number1,104.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 27, 28, 29]","Evelyn has number0 marbles . She gets number1 more from Henry . Later , Evelyn buys number2 cards at the store .",How many marbles does Evelyn have in all ?
"The number of inquiries the first week was number0 . The number of inquiries in the fourth week was number1 . Find the average rate of change in number of inquiries from the first week to the fourth week , in inquiries per week .",15.0 79.0,/ - number1 number0 - 4.0 1.0,21.3333,"[7, 8, 9, 18, 19, 20, 41, 42, 43]",The number of inquiries the first week was number0 . The number of inquiries in the fourth week was number1 .,"Find the average rate of change in number of inquiries from the first week to the fourth week , in inquiries per week ."
"Sally had number0 baseball cards , and number1 were torn . Sara bought number2 of Sally 's baseball cards . How many baseball cards does Sally have now ?",39.0 9.0 24.0,- number0 number2,15,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 25, 26, 27]","Sally had number0 baseball cards , and number1 were torn . Sara bought number2 of Sally 's baseball cards .",How many baseball cards does Sally have now ?
Gwen bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures . How many pictures does she still have to color ?,10.0 39.0 13.0,- + number0 number1 number2,36.0,"[7, 8, 9, 13, 14, 15, 22, 23, 24, 34, 35, 36]",Gwen bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures .,How many pictures does she still have to color ?
Diana starts with number0 bottle caps . number1 are eaten by a hippopotamus . How many bottle caps does Diana end with ?,65.0 4.0,- number0 number1,61.0,"[2, 3, 4, 6, 7, 8, 19, 20, 21]",Diana starts with number0 bottle caps . number1 are eaten by a hippopotamus .,How many bottle caps does Diana end with ?
There are number0 dogwood trees currently in the park . Park workers will plant number1 more dogwood trees today and number2 more dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ?,7.0 3.0 2.0,+ + number0 number1 number2,12.0,"[1, 2, 3, 13, 14, 15, 19, 20, 21, 36, 37, 38]",There are number0 dogwood trees currently in the park . Park workers will plant number1 more dogwood trees today and number2 more dogwood trees tomorrow .,How many dogwood trees will the park have when the workers are finished ?
Luke was selling his old games . He started out with number0 but sold number1 of them . He packed the rest up putting number2 games into each box . How many boxes did he have to use ?,57.0 39.0 2.0,/ - number0 number1 number2,9.0,"[10, 11, 12, 13, 14, 15, 23, 24, 25, 35, 36, 37]",Luke was selling his old games . He started out with number0 but sold number1 of them . He packed the rest up putting number2 games into each box .,How many boxes did he have to use ?
"Edward bought number0 tickets at the state fair . He spent number1 tickets at the ' dunk a clown ' booth and decided to use the rest on rides . If each ride cost number2 tickets , how many rides could he go on ?",79.0 23.0 7.0,/ - number0 number1 number2,8.0,"[1, 2, 3, 10, 11, 12, 33, 34, 35, 41, 42, 43]","Edward bought number0 tickets at the state fair . He spent number1 tickets at the ' dunk a clown ' booth and decided to use the rest on rides . If each ride cost number2 tickets ,",how many rides could he go on ?
"The Montoya family spends number0 their budget on groceries and another number1 going out to eat . Altogether , what fraction of their budget does the Montoya family spend on food ?",0.6 0.2,+ number0 number1,0.8,"[3, 4, 5, 10, 11, 12, 28, 29, 30]","The Montoya family spends number0 their budget on groceries and another number1 going out to eat . Altogether ,",what fraction of their budget does the Montoya family spend on food ?
A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats . How many cats do they have left ?,38.0 25.0 45.0,- + number0 number1 number2,18.0,"[3, 4, 5, 7, 8, 9, 16, 17, 18, 24, 25, 26]",A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats .,How many cats do they have left ?
"A bucket contains number0 gallons of water . If Derek adds number1 gallons more , how many gallons will there be in all ?",3.0 6.8,+ number0 number1,9.8,"[2, 3, 4, 10, 11, 12, 20, 21, 22]","A bucket contains number0 gallons of water . If Derek adds number1 gallons more ,",how many gallons will there be in all ?
"Vanessa and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Vanessa recycled number1 pounds and her friends recycled number2 pounds , how many points did they earn ?",9.0 20.0 16.0,/ + number1 number2 number0,4.0,"[12, 13, 14, 24, 25, 26, 30, 31, 32, 37, 38, 39]","Vanessa and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Vanessa recycled number1 pounds and her friends recycled number2 pounds ,",how many points did they earn ?
"While on vacation , Rachel took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures , how many pictures from her vacation did she still have ?",6.0 9.0 11.0,- + number0 number1 number2,4.0,"[5, 6, 7, 11, 12, 13, 20, 21, 22, 33, 34, 35]","While on vacation , Rachel took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures ,",how many pictures from her vacation did she still have ?
Lucy has an aquarium with number0 fish . She wants to buy number1 more fish . How many fish would Lucy have then ?,212.0 68.0,+ number0 number1,280.0,"[4, 5, 6, 11, 12, 13, 20, 21, 22]",Lucy has an aquarium with number0 fish . She wants to buy number1 more fish .,How many fish would Lucy have then ?
"If Charles strolled number0 miles at number1 miles per hour , how long was Charles travelling ?",6.0 3.0,/ number0 number1,2.0,"[2, 3, 4, 5, 6, 7, 13, 14, 15]","If Charles strolled number0 miles at number1 miles per hour ,",how long was Charles travelling ?
A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats . How many cats do they have left ?,41.0 28.0 15.0,- + number0 number1 number2,54.0,"[3, 4, 5, 7, 8, 9, 16, 17, 18, 24, 25, 26]",A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats .,How many cats do they have left ?
Sam went to number0 football games this year . He went to number1 games last year . How many football games did Sam go to in all ?,14.0 29.0,+ number0 number1,43.0,"[2, 3, 4, 11, 12, 13, 26, 27, 28]",Sam went to number0 football games this year . He went to number1 games last year .,How many football games did Sam go to in all ?
"A dust storm sweeps across the prairie . It covers number0 acres of the prairie in dust , but leaves number1 acres untouched . How many acres does the prairie cover ?",64535.0 522.0,+ number0 number1,65057.0,"[9, 10, 11, 19, 20, 21, 28, 29, 30]","A dust storm sweeps across the prairie . It covers number0 acres of the prairie in dust , but leaves number1 acres untouched .",How many acres does the prairie cover ?
"A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each , how many tables do they need ?",47.0 7.0 5.0,/ - number0 number1 number2,8.0,"[2, 3, 4, 9, 10, 11, 23, 24, 25, 31, 32, 33]","A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each ,",how many tables do they need ?
Craig has number0 apples . Judy has number1 apples . He shares number2 with Eugene . How many apples will Craig have ?,20.0 11.0 7.0,- number0 number2,13.0,"[1, 2, 3, 6, 7, 8, 11, 12, 13, 19, 20, 21]",Craig has number0 apples . Judy has number1 apples . He shares number2 with Eugene .,How many apples will Craig have ?
